Título,Descripción,URL
Jimmie Åkesson håller tal på arabiska,"Som är AI-genererat










AI har ju kunnat översätta text ett tag nu, och även skapa bilder. På senare tid har AI blivit bättre på ljud och video och tjänster finns nu för att inte bara översätta tal utan också göra om en video så att det ser ut som att p…",https://feber.se/samhalle/jimmie-akesson-haller-tal-pa-arabiska/460375/
Vatikanen välsignar samkönade partnerskap,"▸ Vatikanen godkänner välsignelse av samkönade äktenskap, med förbehållet att välsignelsen inte får genomföras vid ett…",https://www.aftonbladet.se/nyheter/a/Rr77qd/aftonbladet-direkt?pinnedEntry=1197819
Tesla rival Nio secures $2.2bn investment from Abu Dhabi fund - Financial Times,Tesla rival Nio secures $2.2bn investment from Abu Dhabi fundFinancial Times Nio stock jumps as Abu Dhabi investor to pour in $2.2 billionMarketWatch NIO Stock Jumps After Chinese EV Maker Lands $2.2 Billion Cash InfusionThe Wall Street Journal NIO Inc. Annou…,https://slashdot.org/firehose.pl?op=view&amp;id=172517255
Top 3 Reasons NOT to Buy Tesla Stock,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_a210d26e-cfbc-41c4-b04a-81ffc4cbe569
Foxconn makes most of the world’s iPhones. Now CEO Young Liu wants to make EVs,"It’s become a cliche in the auto industry that modern vehicles are “iPhones on wheels.” Cars and SUVs are packed with computer chips, sophisticated sensors, touchscreens and data connections.",https://www.cnn.com/2023/12/18/business/young-liu-risk-taker/index.html
Richest tech billionaires in the world,"The eccentric South African-born innovator and businessman that tops the list has seen his fortune surge in 2023, but so have the world’s other richest tech billionaires.",https://mybroadband.co.za/news/business/519791-richest-tech-billionaires-in-the-world.html
Hay una nueva batería LFP para coche eléctrico que promete lo imposible: recargas de combustión y precio bajo,"Son más resistentes y baratas. Pero también cuentan con menor densidad energética y unos tiempos de carga más largos. Al menos, hasta ahora. Las baterías LFP cuentan con algunos atractivos interesantes, especialmente para quienes buscan coches eléctricos más …",https://www.xataka.com/movilidad/hay-nueva-bateria-lfp-para-coche-electrico-que-promete-imposible-recargas-combustion-precio
BAFA-Förderende: Das Ende der Elektroauto-Förderung? Eine hirnlose Vollbremsung!,"Die Förderung für Elektroautos wird sofort gestoppt, die Subvention für Pkw-Diesel geht weiter – so stürzt die Bundesregierung den Automarkt ins Chaos, torpediert ihre Klimaziele und fördert Bürgerfrust",https://www.capital.de/wirtschaft-politik/das-ende-der-elektroauto-foerderung--eine-hirnlose-vollbremsung--34297458.html
Top 10 Technology Posts of 2023,Design Milk revisits the top 10 posts of 2023 highlighting the most memorable moments where great design and smart technologies intersect.,https://design-milk.com/top-10-technology-posts-of-2023/
Myndigheter måste bli bättre på att dela data,"Slår utredning fast





Den här artikeln har något inbäddat i sig, troligen ett videoklipp.
Se klippet.



Idag lämnades en utredning till regeringen där man tittat på ""offentliga förvaltningen ska kunna samverka bättre genom att dela data på ett effektivt o…",https://feber.se/samhalle/myndigheter-maste-bli-battre-pa-att-dela-data/460362/
"Здравствуй, робот бипедальный: Tesla показала андроида Optimus Gen 2","Tesla представила Optimus Gen 2 — новое поколение гуманоидного робота бипедального типа, который может быстро ходить, танцевать и проводить манипуляции с разными объектами. Производитель сообщил о том, что новинка вскоре сможет заменить человека в некоторых в…",https://habr.com/ru/companies/ru_mts/articles/781362/#post-content-body
"Здравствуй, робот бипедальный: Tesla показала андроида Optimus Gen 2","Tesla представила Optimus Gen 2 — новое поколение гуманоидного робота бипедального типа, который может быстро ходить, танцевать и проводить манипуляции с разными объектами. Производитель сообщил о том, что новинка вскоре сможет заменить человека в некоторых в…",https://habr.com/ru/companies/ru_mts/articles/781362/#post-content-body
Bedragare skickar skumma sms till norrlänningar,▸ Polisen i region Nord varnar för telefonbedrägerier som nu ökar inför jul.,https://www.aftonbladet.se/nyheter/a/Rr77qd/aftonbladet-direkt?pinnedEntry=1197818
Easy Park utsatt för cyberattack,"▸ Företaget Easy Park, som tillhandahåller parkeringsplatser och elbilsladdning med betalning via en app, har utsatts för…",https://www.aftonbladet.se/nyheter/a/Rr77qd/aftonbladet-direkt?pinnedEntry=1197817
"Nio Stock Jumps On China EV Maker's Landmark 1,000-Kilometer Drive, Abu Dhabi Investment","announced a new, $2.2 billion investment from Abu Dhabi's CYVN on Monday, a day after the Chinese electric vehicle maker's CEO completed a 1,000-kilometer drive on a single charge. Nio stock jumped before the open. Abu Dhabi government fund CYVN Holdings will…",https://biztoc.com/x/6cbab806a321a2dd
Analiză: În România sunt cu 60% mai multe mașini electrice decât în 2022. Cât de mare este parcul de EV-uri,"Conform unei analize LEKTRI.CO, parcul auto electric a crescut cu peste 15.300 de vehicule nepoluante în primele 11 luni ale anului. Astfel, în luna noiembrie, România a atins pragul de 40.000 de vehicule electrice, ceea ce reprezintă o creștere de aproximati…",https://www.wall-street.ro/articol/Auto/303590/analiza-in-romania-sunt-cu-60-mai-multe-masini-electrice-decat-in-2022-cat-de-mare-este-parcul-de-ev-uri.html
Barclays expects Tesla to deliver solid 4Q delivery results ahead of Street,Barclays expects Tesla to deliver solid 4Q delivery results ahead of Street,https://www.investing.com/news/stock-market-news/barclays-expects-tesla-to-deliver-solid-4q-delivery-results-ahead-of-street-432SI-3259016
"Danmark köper Stridsfordon 90 för 2,7 miljarder","För att skänka dem till Ukraina. 






Idag har försvarsministrarna i Sverige och Danmark undertecknat en gemensam avsiktsförklaring. I den står det att Danmark kommer att lägga 1,8 miljarder danska kronor, ungefär 2,7 miljarder svenska kronor, på att köpa S…",https://feber.se/samhalle/danmark-koper-stridsfordon-90-for-27-miljarder/460371/
Will Santa Rally Us Until The End Of The Year?,"With Christmas just a week away and many people taking time off in the coming weeks, I expect things to gradually slow down as the week progresses.",https://www.forbes.com/sites/jjkinahan/2023/12/18/will-santa-rally-us-until-the-end-of-the-year/
